time;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
9.0;18.8;0;0;1;9;2023;0;4;422.759;422.759
10.0;19.8;0;0;1;9;2023;0;4;422.759;422.759
11.0;20.5;0;0;1;9;2023;0;4;422.759;422.759
12.0;21.0;0;0;1;9;2023;0;4;422.759;422.759
13.0;21.3;0;0;1;9;2023;0;4;422.759;422.759
14.0;21.3;0;0;1;9;2023;0;4;422.759;422.759
15.0;21.2;0;0;1;9;2023;0;4;422.759;422.759
16.0;20.7;0;0;1;9;2023;0;4;422.759;422.759
17.0;20.1;0;0;1;9;2023;0;4;422.759;422.759
18.0;19.3;0;0;1;9;2023;0;4;422.759;422.759
19.0;18.2;0;0;1;9;2023;0;4;422.759;422.759
20.0;17.1;0;0;1;9;2023;0;4;422.759;422.759
21.0;16.1;0;1;1;9;2023;0;4;422.759;422.759
22.0;15.6;0;1;1;9;2023;0;4;422.759;422.759
23.0;15.2;0;1;1;9;2023;0;4;422.759;422.759
0.0;14.9;0;1;1;9;2023;0;4;422.759;422.759
1.0;14.6;0;0;1;9;2023;0;4;422.759;422.759
2.0;14.3;0;0;1;9;2023;0;4;422.759;422.759
3.0;14.2;0;0;2;9;2023;0;5;422.759;422.759
4.0;14.2;0;0;2;9;2023;0;5;422.759;422.759
5.0;14.3;0;0;2;9;2023;0;5;422.759;422.759
6.0;15.0;0;0;2;9;2023;0;5;422.759;422.759
7.0;16.6;0;0;2;9;2023;0;5;422.759;422.759
8.0;18.7;0;0;2;9;2023;0;5;422.759;422.759
9.0;20.5;0;0;2;9;2023;0;5;422.759;422.759
10.0;21.8;0;0;2;9;2023;0;5;422.759;422.759
11.0;22.8;0;0;2;9;2023;0;5;422.759;422.759
12.0;23.6;0;0;2;9;2023;0;5;422.759;422.759
13.0;24.0;0;0;2;9;2023;0;5;422.759;422.759
14.0;24.1;0;0;2;9;2023;0;5;422.759;422.759
15.0;23.8;0;0;2;9;2023;0;5;422.759;422.759
16.0;23.1;0;0;2;9;2023;0;5;422.759;422.759
17.0;22.0;0;0;2;9;2023;0;5;422.759;422.759
18.0;21.0;0;0;2;9;2023;0;5;422.759;422.759
19.0;20.3;0;0;2;9;2023;0;5;422.759;422.759
20.0;19.6;0;0;2;9;2023;0;5;422.759;422.759
